timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-28T02:02:59.484Z","0","21","61","110849","17745","820","2271","535","1137","949","1025",""
"2026-07-28T02:03:00.840Z","0","30","54","283631","64964","8812","9273","37675","15933","12047","5459",""
"2026-07-28T02:03:01.794Z","0","29","47","66419","89520","12089","15479","10624","4232","5728","6454",""
"2026-07-28T02:03:03.252Z","0","20","47","557229","95052","38874","11244","11957","4668","7489","5259",""
"2026-07-28T02:03:04.266Z","0","14","50","689831","546015","110432","66784","42297","21668","28889","13286",""
"2026-07-28T02:03:05.202Z","0","20","63","1000275","51258","24813","39909","14352","42663","17321","6941",""
"2026-07-28T02:03:06.389Z","0","37","69","339979","47424","21782","23996","19825","26260","18251","7768",""
"2026-07-28T02:03:07.170Z","0","54","53","1558110","16559","785","1568","7678","4608","3378","7187",""
"2026-07-28T02:03:07.752Z","0","64","60","151121","27736","11058","11439","6339","4557","10209","692",""
"2026-07-28T02:03:08.772Z","0","47","47","600430","263039","32529","14760","32939","13782","14708","8064",""
"2026-07-28T02:03:11.556Z","0","34","50","775367","393189","185623","105818","13131","42360","38909","9735",""
"2026-07-28T02:03:13.200Z","0","27","61","1942827","212187","69504","41946","106391","48975","23027","22387",""
"2026-07-28T02:03:14.676Z","0","26","38","8452","8598","1558","1446","511","895","269","176",""
"2026-07-28T02:03:15.504Z","0","26","35","506287","27898","2512","5276","4178","5556","4248","1213",""
"2026-07-28T02:03:16.302Z","26","26","35","155229","62174","85882","129257","134914","111733","65075","14540",""
"2026-07-28T02:03:18.498Z","51","26","35","75668","45057","21710","12884","11204","12877","10771","7383",""
"2026-07-28T02:03:20.064Z","0","20","38","42147","46943","2106","817","1409","1452","859","230",""
"2026-07-28T02:03:20.850Z","0","16","23","265487","21067","2909","4851","4146","2112","2107","1494",""
"2026-07-28T02:03:21.642Z","0","1","24","50347","27920","6182","2782","4093","1031","1464","1670",""
"2026-07-28T02:03:22.452Z","0","21","40","443957","52222","6809","16763","12524","22279","6700","1741",""
"2026-07-28T02:03:23.250Z","0","27","50","1041193","394272","71711","32804","41933","30368","53401","27830",""
"2026-07-28T02:03:24.276Z","0","27","53","1273456","115570","30350","33121","26509","11933","13034","7038",""
"2026-07-28T02:03:25.386Z","0","29","48","790984","174059","11440","17863","24594","7356","4387","1719",""
"2026-07-28T02:03:30.150Z","0","20","54","278875","24671","9322","6717","2025","723","976","221",""
"2026-07-28T02:03:31.878Z","0","26","64","1569640","322457","43822","31428","32611","20103","22059","2013",""
"2026-07-28T02:03:33.420Z","0","10","69","2172380","346910","202548","17883","36968","23417","42653","5215",""
"2026-07-28T02:03:33.942Z","0","23","61","1023780","329315","74410","42736","62505","39868","15409","14274",""
"2026-07-28T02:03:35.382Z","0","16","54","1990076","1033496","62339","185327","36422","57163","9282","6638",""
"2026-07-28T02:03:36.216Z","0","14","61","1295264","292290","125236","48820","47111","20456","10586","6437",""
"2026-07-28T02:03:37.308Z","51","14","61","615426","16172","2851","11179","15339","24488","9884","4528",""
"2026-07-28T02:03:38.688Z","0","7","44","593814","134992","14767","5523","4428","2976","1446","1280",""
"2026-07-28T02:03:39.480Z","0","1","38","516149","163649","5568","16014","14024","4222","2980","646",""
"2026-07-28T02:03:40.344Z","0","1","40","582597","521518","138485","198200","38096","24950","5610","11396",""
"2026-07-28T02:03:41.580Z","51","1","40","403349","561784","77856","26696","108713","529560","548622","259503",""
"2026-07-28T02:03:42.456Z","51","1","40","789342","274016","50226","56157","35026","40584","34619","11848",""
"2026-07-28T02:03:43.248Z","26","1","40","1056010","98570","49797","49267","13737","9979","6894","2568",""
"2026-07-28T02:03:45.071Z","0","1","43","1283157","67852","12114","10392","12223","6534","6211","512",""
"2026-07-28T02:03:45.894Z","0","4","48","890617","73336","14918","2132","2315","4324","1849","573",""
"2026-07-28T02:03:46.800Z","26","4","48","934005","30002","26418","56744","70775","21397","12426","1097",""
"2026-07-28T02:03:47.597Z","0","23","56","1566347","33022","7389","6949","14100","8273","17661","15734",""
"2026-07-28T02:03:50.010Z","0","38","56","996537","42800","16649","12672","3015","11337","3758","951",""
"2026-07-28T02:03:51.642Z","0","35","50","1142041","247415","9423","26618","17203","12579","4910","6934",""
"2026-07-28T02:03:53.028Z","26","35","50","256244","4121","2582","2045","3486","5805","2851","1091",""
"2026-07-28T02:03:53.705Z","26","35","50","1021000","321986","54792","40762","26389","20653","8625","3637",""
"2026-07-28T02:03:54.707Z","0","40","57","15663","10364","4191","3018","843","1669","1026","159",""
